Country	Anbirthrate	Pop	muh	contact_rateh	infectious_period	iotah	Dcases	TestsP	latent_referece	latent_alpha	latent_beta	latent_delta	latent_future1	latent_future2	alpha_prop	beta_prop	delta_prop	future1_prop	future2_prop	epsilonh	sev_reduce	reference_trans	alpha_trans	beta_trans	delta_trans	future1_trans	future2_trans	sigmaSE	k_in	prop_pos_imm	infect_reduce	mort_reduce	epsilonh_reduce	infectious_period_reduce	epsilonhOmi	epsilonh40	epsilonh60	lenth_of_stay	pop_inf_factor	pop_inf_factor1	pop_inf_factor2	vulnerability	vulnerability1	pop_inf_factor3	pop_inf_factor4	vun_pop_infl_factor	True burden	prop_pop_imm_21_infected	Fully_vacc	prop_pop_imm_21	deathreported	k_inA
Comoros	0.0308	888456	0.0071	8.9	10	2	158	6657	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.95	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	14.5	0.007492774	0.068965517	0.014527866	0.000598581	0.013682426	0.018375044	0.100192179	393751	0.443185706	28.305	0.600791992	0.537193841	0.28305
Congo	0.03122	5657017	0.0064	7.5	10	14	371	20089	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.655	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	116	0.003551165	0.00862069	0.019774	0.015008224	0.012796275	0.020998111	0.017046552	2471580	0.436905175	10.576	0.496458083	0.221799284	0.10576
Cote d Ivoire	0.0352	27053629	0.0097	3.9	10	39	712	68146	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.255	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	1050	0.002518923	0.000952381	0.019774	0.014967476	0.002810783	0.011553667	0.001883238	11775339	0.435259129	8.198	0.481556586	0.154649966	0.08198
Democratic Republic of the Congo	0.0401	92377986	0.0091	5.2	10	17	1205	76021	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.755	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	3698.4	0.000822934	0.000270387	0.019774	0.004297432	0.001990613	0.011553667	0.000534664	40070320	0.433764815	0.132	0.434512245	0.047456606	0.00132
Equatorial Guinea	0.03217	1449891	0.0089	5.31	10	9	175	13714	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.855	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	19.5	0.009458642	0.051282051	0.016358253	0.044591378	0.015805257	0.019290238	0.083888477	642309	0.443005026	14.495	0.523741447	0.572256018	0.14495
Eritrea	0.0292	3601462	0.0069	4.95	10	1	131	7982	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.955	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	122	0.002216322	0.008196721	0.014406753	0.004396333	0.051059153	0.057203377	0.011808814	1568640	0.435556449	0	0.435556449	0.119616106	0
Eswatini	0.0257	1172369	0.0089	8.1	10	0	1307	65834	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.75	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	27	0.056154675	0.037037037	0.021959605	0.171482833	0.122451549	0.110979802	0.08133187	601538	0.513096133	26.057	0.639968673	0.99	0.26057
Gabon	0.0303	2278829	0.0066	6.89	10	14	288	41073	6	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.755	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	71	0.018023731	0.014084507	0.023391581	0.024357197	0.028247876	0.031695791	0.032945889	1039165	0.456008327	8.606	0.50282425	0.99	0.08606
Gambia	0.0376	2486937	0.0076	3.85	10	7	343	10176	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.055	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	91	0.00409178	0.010989011	0.019774	0.010387539	0.027017341	0.034887	0.02172967	1088735	0.437781496	9.75	0.4925978	0.213709491	0.0975
Ghana	0.02883	31732128	0.00715	3.44	10	16	1287	141295	5	3.5	5	4	3	0	0.04	0.02	0.16	0.78	0	0.005	0.8375	1	1.5	1.25	1.97	5.6933	1	0.055	0.7	0.21	0.67	0.88	0.9	2.8	0.025	0.007	0.008	21	1000	0.004452743	0.001	0.017135066	0.010451252	0.00456803	0.011067533	0.001713507	13953560	0.439729728	7.511	0.481811628	0.255217646	0.07511
